,Year,Country of origin,Country of asylum,Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,International total
26892,2022,Afghanistan,Afghanistan,0,0,3393176,0
26893,2022,Bangladesh,Afghanistan,0,5,0,5
26894,2022,Iran (Islamic Rep. of),Afghanistan,38,26,0,64
26895,2022,Pakistan,Afghanistan,59486,220,0,59706
26896,2022,Tajikistan,Afghanistan,0,6,0,6
26897,2022,Afghanistan,Albania,5,0,0,5
26898,2022,Bangladesh,Albania,0,0,0,0
26899,2022,China,Albania,14,0,0,14
26900,2022,Palestinian,Albania,8,0,0,8
26901,2022,Iraq,Albania,0,0,0,0
26902,2022,Serbia and Kosovo: S/RES/1244 (1999),Albania,57,0,0,57
26903,2022,Syrian Arab Rep.,Albania,20,6,0,26
26904,2022,Ukraine,Albania,2192,0,0,2192
26905,2022,Uzbekistan,Albania,5,0,0,5
26906,2022,Venezuela (Bolivarian Republic of),Albania,5,0,0,5
26907,2022,Yemen,Albania,0,0,0,0
26908,2022,Stateless,Albania,0,0,0,0
26909,2022,Benin,Algeria,0,151,0,151
26910,2022,Burkina Faso,Algeria,6,50,0,56
26911,2022,Central African Rep.,Algeria,105,65,0,170
26912,2022,Chad,Algeria,5,31,0,36
26913,2022,Cameroon,Algeria,152,527,0,679
26914,2022,Congo,Algeria,0,11,0,11
26915,2022,Dem. Rep. of the Congo,Algeria,80,116,0,196
26916,2022,Eritrea,Algeria,5,0,0,5
26917,2022,Gambia,Algeria,0,5,0,5
26918,2022,Palestinian,Algeria,225,0,0,225
26919,2022,Ghana,Algeria,0,10,0,10
26920,2022,Guinea-Bissau,Algeria,0,5,0,5
26921,2022,Guinea,Algeria,50,561,0,611
26922,2022,Cote d'Ivoire,Algeria,84,237,0,321
26923,2022,India,Algeria,0,5,0,5
26924,2022,Iraq,Algeria,16,0,0,16
26925,2022,Liberia,Algeria,0,84,0,84
26926,2022,Libya,Algeria,21,13,0,34
26927,2022,Lebanon,Algeria,0,9,0,9
26928,2022,Mali,Algeria,231,603,0,834
26929,2022,Niger,Algeria,9,169,0,178
26930,2022,Nigeria,Algeria,5,342,0,347
26931,2022,Senegal,Algeria,0,6,0,6
26932,2022,Sierra Leone,Algeria,0,41,0,41
26933,2022,Sudan,Algeria,31,69,0,100
26934,2022,Syrian Arab Rep.,Algeria,7345,0,0,7345
26935,2022,Togo,Algeria,0,20,0,20
26936,2022,Türkiye,Algeria,0,11,0,11
26937,2022,Western Sahara,Algeria,90000,0,0,90000
26938,2022,Yemen,Algeria,309,0,0,309
26939,2022,Angola,Angola,0,0,0,0
26940,2022,Burundi,Angola,17,99,0,116
26941,2022,Central African Rep.,Angola,7,77,0,84
26942,2022,Chad,Angola,189,779,0,968
26943,2022,Congo,Angola,65,58,0,123
26944,2022,Dem. Rep. of the Congo,Angola,23274,500,0,23774
26945,2022,Eritrea,Angola,83,1791,0,1874
26946,2022,Ethiopia,Angola,0,57,0,57
26947,2022,Guinea-Bissau,Angola,7,268,0,275
26948,2022,Guinea,Angola,126,9146,0,9272
26949,2022,Cote d'Ivoire,Angola,417,5940,0,6357
26950,2022,Liberia,Angola,164,478,0,642
26951,2022,Mauritania,Angola,323,5402,0,5725
26952,2022,Rwanda,Angola,495,141,0,636
26953,2022,Sierra Leone,Angola,413,1497,0,1910
26954,2022,Somalia,Angola,271,1731,0,2002
26955,2022,Sudan,Angola,279,1670,0,1949
26956,2022,Syrian Arab Rep.,Angola,0,5,0,5
26957,2022,United Rep. of Tanzania,Angola,5,0,0,5
26958,2022,Türkiye,Angola,0,34,0,34
26959,2022,Uganda,Angola,0,6,0,6
26960,2022,Western Sahara,Angola,16,596,0,612
26961,2022,Haiti,Antigua and Barbuda,0,0,0,0
26962,2022,Venezuela (Bolivarian Republic of),Antigua and Barbuda,0,0,0,0
26963,2022,Afghanistan,Egypt,43,161,0,204
26964,2022,Burundi,Egypt,56,62,0,118
26965,2022,Bangladesh,Egypt,0,10,0,10
26966,2022,Central African Rep.,Egypt,45,31,0,76
26967,2022,Chad,Egypt,63,59,0,122
26968,2022,China,Egypt,0,76,0,76
26969,2022,Cameroon,Egypt,18,46,0,64
26970,2022,Congo,Egypt,14,24,0,38
26971,2022,Dem. Rep. of the Congo,Egypt,49,23,0,72
26972,2022,Djibouti,Egypt,22,21,0,43
26973,2022,Eritrea,Egypt,15436,7158,0,22594
26974,2022,Ethiopia,Egypt,5674,10550,0,16224
26975,2022,Palestinian,Egypt,70021,0,0,70021
26976,2022,Ghana,Egypt,0,10,0,10
26977,2022,Guinea,Egypt,11,70,0,81
26978,2022,Cote d'Ivoire,Egypt,36,5,0,41
26979,2022,Iraq,Egypt,4545,2252,0,6797
26980,2022,Jordan,Egypt,9,8,0,17
26981,2022,Kenya,Egypt,9,9,0,18
26982,2022,Liberia,Egypt,0,5,0,5
26983,2022,Libya,Egypt,6,0,0,6
26984,2022,Lebanon,Egypt,0,6,0,6
26985,2022,Sri Lanka,Egypt,0,5,0,5
26986,2022,Mali,Egypt,0,9,0,9
26987,2022,Nigeria,Egypt,27,156,0,183
26988,2022,Russian Federation,Egypt,9,10,0,19
26989,2022,Rwanda,Egypt,5,0,0,5
26990,2022,Saudi Arabia,Egypt,16,5,0,21
26991,2022,Sierra Leone,Egypt,5,7,0,12
26992,2022,Somalia,Egypt,4713,2171,0,6884
26993,2022,Sudan,Egypt,25706,32742,0,58448
26994,2022,South Sudan,Egypt,19649,2642,0,22291
26995,2022,Syrian Arab Rep.,Egypt,143803,0,0,143803
26996,2022,United Rep. of Tanzania,Egypt,5,0,0,5
26997,2022,Tajikistan,Egypt,12,11,0,23
26998,2022,Turkmenistan,Egypt,5,0,0,5
26999,2022,Togo,Egypt,0,10,0,10
27000,2022,Tunisia,Egypt,5,0,0,5
27001,2022,Türkiye,Egypt,0,356,0,356
27002,2022,Uganda,Egypt,14,15,0,29
27003,2022,Uzbekistan,Egypt,0,12,0,12
27004,2022,Yemen,Egypt,163,10482,0,10645
27005,2022,Zimbabwe,Egypt,42,14,0,56
27006,2022,Stateless,Egypt,5,0,0,5
27007,2022,Unknown ,Egypt,0,5,0,5
27008,2022,Afghanistan,Argentina,12,0,0,12
27009,2022,Albania,Argentina,18,0,0,18
27010,2022,Algeria,Argentina,30,23,0,53
27011,2022,Angola,Argentina,14,15,0,29
27012,2022,Egypt,Argentina,5,22,0,27
27013,2022,Armenia,Argentina,77,187,0,264
27014,2022,Burundi,Argentina,5,0,0,5
27015,2022,Bangladesh,Argentina,5,92,0,97
27016,2022,Belarus,Argentina,0,6,0,6
27017,2022,Bolivia (Plurinational State of),Argentina,60,65,0,125
27018,2022,Brazil,Argentina,0,23,0,23
27019,2022,Bosnia and Herzegovina,Argentina,6,0,0,6
27020,2022,China,Argentina,0,121,0,121
27021,2022,Chile,Argentina,34,8,0,42
