,Year,Country of origin,Country of asylum,Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,International total
27022,2022,Cameroon,Argentina,11,39,0,50
27023,2022,Dem. Rep. of the Congo,Argentina,26,28,0,54
27024,2022,Colombia,Argentina,562,294,0,856
27025,2022,Costa Rica,Argentina,5,0,0,5
27026,2022,Cuba,Argentina,262,847,0,1109
27027,2022,Cabo Verde,Argentina,0,5,0,5
27028,2022,Czechia,Argentina,0,5,0,5
27029,2022,Dominican Rep.,Argentina,10,578,0,588
27030,2022,Ecuador,Argentina,16,31,0,47
27031,2022,Eritrea,Argentina,6,5,0,11
27032,2022,Ethiopia,Argentina,5,0,0,5
27033,2022,Gambia,Argentina,0,10,0,10
27034,2022,Palestinian,Argentina,25,9,0,34
27035,2022,Georgia,Argentina,5,0,0,5
27036,2022,Ghana,Argentina,37,152,0,189
27037,2022,Guinea-Bissau,Argentina,8,5,0,13
27038,2022,Guatemala,Argentina,8,0,0,8
27039,2022,Guinea,Argentina,10,9,0,19
27040,2022,Haiti,Argentina,79,766,0,845
27041,2022,Honduras,Argentina,6,10,0,16
27042,2022,Hungary,Argentina,0,5,0,5
27043,2022,Cote d'Ivoire,Argentina,20,5,0,25
27044,2022,India,Argentina,23,130,0,153
27045,2022,Iran (Islamic Rep. of),Argentina,30,6,0,36
27046,2022,Iraq,Argentina,22,0,0,22
27047,2022,Jamaica,Argentina,13,0,0,13
27048,2022,Jordan,Argentina,5,5,0,10
27049,2022,Kazakhstan,Argentina,18,16,0,34
27050,2022,Kyrgyzstan,Argentina,5,0,0,5
27051,2022,Liberia,Argentina,42,0,0,42
27052,2022,Libya,Argentina,5,5,0,10
27053,2022,Sri Lanka,Argentina,36,0,0,36
27054,2022,North Macedonia,Argentina,9,0,0,9
27055,2022,Mexico,Argentina,0,6,0,6
27056,2022,Mali,Argentina,9,0,0,9
27057,2022,Morocco,Argentina,0,14,0,14
27058,2022,Nepal,Argentina,0,5,0,5
27059,2022,Nicaragua,Argentina,16,15,0,31
27060,2022,Nigeria,Argentina,42,75,0,117
27061,2022,Pakistan,Argentina,39,22,0,61
27062,2022,Paraguay,Argentina,20,17,0,37
27063,2022,Peru,Argentina,548,92,0,640
27064,2022,Philippines,Argentina,0,5,0,5
27065,2022,Romania,Argentina,51,0,0,51
27066,2022,South Africa,Argentina,0,17,0,17
27067,2022,Russian Federation,Argentina,81,98,0,179
27068,2022,El Salvador,Argentina,47,40,0,87
27069,2022,Senegal,Argentina,43,1386,0,1429
27070,2022,Sierra Leone,Argentina,37,10,0,47
27071,2022,Somalia,Argentina,5,0,0,5
27072,2022,Spain,Argentina,0,5,0,5
27073,2022,Sudan,Argentina,5,0,0,5
27074,2022,Syrian Arab Rep.,Argentina,440,100,0,540
27075,2022,Tunisia,Argentina,0,5,0,5
27076,2022,Türkiye,Argentina,7,0,0,7
27077,2022,Ukraine,Argentina,121,84,0,205
27078,2022,United States of America,Argentina,5,12,0,17
27079,2022,Venezuela (Bolivarian Republic of),Argentina,316,5632,0,5948
27080,2022,Yemen,Argentina,21,7,0,28
27081,2022,Unknown ,Argentina,645,139,0,784
27082,2022,Afghanistan,Armenia,6,0,0,6
27083,2022,Egypt,Armenia,5,0,0,5
27084,2022,Azerbaijan,Armenia,27929,0,0,27929
27085,2022,Congo,Armenia,5,0,0,5
27086,2022,Cuba,Armenia,5,45,0,50
27087,2022,Palestinian,Armenia,7,0,0,7
27088,2022,Georgia,Armenia,8,5,0,13
27089,2022,Cote d'Ivoire,Armenia,6,0,0,6
27090,2022,Iran (Islamic Rep. of),Armenia,144,72,0,216
27091,2022,Iraq,Armenia,1103,26,0,1129
27092,2022,Lebanon,Armenia,26,5,0,31
27093,2022,Nigeria,Armenia,6,0,0,6
27094,2022,Russian Federation,Armenia,0,6,0,6
27095,2022,Syrian Arab Rep.,Armenia,4855,9,0,4864
27096,2022,Türkiye,Armenia,17,10,0,27
27097,2022,Ukraine,Armenia,131,217,0,348
27098,2022,Yemen,Armenia,21,0,0,21
27099,2022,Stateless,Armenia,0,0,0,0
27100,2022,Afghanistan,Australia,8741,3264,0,12005
27101,2022,Albania,Australia,37,97,0,134
27102,2022,Algeria,Australia,8,22,0,30
27103,2022,Egypt,Australia,1214,224,0,1438
27104,2022,Argentina,Australia,0,27,0,27
27105,2022,Azerbaijan,Australia,10,12,0,22
27106,2022,Bahrain,Australia,44,5,0,49
27107,2022,Burundi,Australia,53,27,0,80
27108,2022,Belgium,Australia,0,5,0,5
27109,2022,Bangladesh,Australia,393,1314,0,1707
27110,2022,Bhutan,Australia,5,17,0,22
27111,2022,Belarus,Australia,7,0,0,7
27112,2022,Brazil,Australia,9,183,0,192
27113,2022,Brunei Darussalam,Australia,0,6,0,6
27114,2022,Bosnia and Herzegovina,Australia,0,5,0,5
27115,2022,Cambodia,Australia,67,493,0,560
27116,2022,Canada,Australia,0,5,0,5
27117,2022,China,Australia,1576,15082,0,16658
27118,2022,Chile,Australia,6,61,0,67
27119,2022,Cameroon,Australia,29,62,0,91
27120,2022,Congo,Australia,36,20,0,56
27121,2022,Dem. Rep. of the Congo,Australia,61,45,0,106
27122,2022,Colombia,Australia,81,320,0,401
27123,2022,Eritrea,Australia,99,11,0,110
27124,2022,Ethiopia,Australia,409,179,0,588
27125,2022,Fiji,Australia,248,2662,0,2910
27126,2022,France,Australia,0,25,0,25
27127,2022,Gambia,Australia,10,6,0,16
27128,2022,Palestinian,Australia,457,204,0,661
27129,2022,United Kingdom of Great Britain and Northern Ireland,Australia,6,97,0,103
27130,2022,Georgia,Australia,12,27,0,39
27131,2022,Germany,Australia,9,10,0,19
27132,2022,Ghana,Australia,44,178,0,222
27133,2022,Greece,Australia,6,50,0,56
27134,2022,Guinea,Australia,8,5,0,13
27135,2022,"China, Hong Kong SAR",Australia,6,472,0,478
27136,2022,Honduras,Australia,5,5,0,10
27137,2022,India,Australia,469,7273,0,7742
27138,2022,Indonesia,Australia,241,2377,0,2618
27139,2022,Ireland,Australia,0,83,0,83
27140,2022,Iran (Islamic Rep. of),Australia,12180,3429,0,15609
27141,2022,Iraq,Australia,4286,1195,0,5481
27142,2022,Israel,Australia,6,17,0,23
27143,2022,Italy,Australia,5,58,0,63
27144,2022,Jamaica,Australia,5,0,0,5
27145,2022,Jordan,Australia,144,179,0,323
27146,2022,Japan,Australia,10,20,0,30
27147,2022,Kazakhstan,Australia,5,0,0,5
27148,2022,Kenya,Australia,105,338,0,443
27149,2022,Kyrgyzstan,Australia,11,0,0,11
27150,2022,Kiribati,Australia,0,5,0,5
27151,2022,Rep. of Korea,Australia,21,326,0,347
27152,2022,Dem. People's Rep. of Korea,Australia,0,9,0,9
27153,2022,Kuwait,Australia,23,0,0,23
27154,2022,Lao People's Dem. Rep.,Australia,5,304,0,309
27155,2022,Liberia,Australia,43,18,0,61
27156,2022,Libya,Australia,1212,37,0,1249
27157,2022,Lebanon,Australia,481,952,0,1433
27158,2022,Sri Lanka,Australia,3809,3136,0,6945
27159,2022,North Macedonia,Australia,5,78,0,83
27160,2022,Maldives,Australia,19,10,0,29
27161,2022,Mexico,Australia,19,26,0,45
27162,2022,Malaysia,Australia,734,18884,0,19618
27163,2022,Mongolia,Australia,13,391,0,404
27164,2022,Morocco,Australia,10,19,0,29
27165,2022,Mozambique,Australia,0,7,0,7
27166,2022,Mauritius,Australia,11,132,0,143
27167,2022,Myanmar,Australia,413,972,0,1385
27168,2022,Nepal,Australia,94,707,0,801
27169,2022,Nigeria,Australia,265,530,0,795
27170,2022,Nauru,Australia,5,16,0,21
27171,2022,New Zealand,Australia,34,26,0,60
27172,2022,Oman,Australia,5,0,0,5
27173,2022,Pakistan,Australia,5042,2578,0,7620
27174,2022,Peru,Australia,26,74,0,100
27175,2022,Philippines,Australia,41,1640,0,1681
27176,2022,Papua New Guinea,Australia,526,618,0,1144
27177,2022,Poland,Australia,0,19,0,19
27178,2022,Portugal,Australia,0,12,0,12
27179,2022,Romania,Australia,0,10,0,10
27180,2022,South Africa,Australia,26,468,0,494
27181,2022,Russian Federation,Australia,53,96,0,149
27182,2022,Rwanda,Australia,87,56,0,143
27183,2022,El Salvador,Australia,12,32,0,44
27184,2022,Saudi Arabia,Australia,209,66,0,275
27185,2022,Serbia and Kosovo: S/RES/1244 (1999),Australia,0,20,0,20
27186,2022,Singapore,Australia,6,44,0,50
27187,2022,Sierra Leone,Australia,33,122,0,155
27188,2022,Solomon Islands,Australia,30,447,0,477
27189,2022,Somalia,Australia,558,126,0,684
27190,2022,Viet Nam,Australia,327,3524,0,3851
27191,2022,Sudan,Australia,580,253,0,833
27192,2022,South Sudan,Australia,22,37,0,59
27193,2022,Eswatini,Australia,0,21,0,21
27194,2022,Syrian Arab Rep.,Australia,595,52,0,647
27195,2022,United Rep. of Tanzania,Australia,8,32,0,40
27196,2022,Thailand,Australia,21,1979,0,2000
27197,2022,Timor-Leste,Australia,6,363,0,369
27198,2022,Tonga,Australia,29,973,0,1002
27199,2022,Tunisia,Australia,0,10,0,10
27200,2022,Türkiye,Australia,817,471,0,1288
27201,2022,United Arab Emirates,Australia,5,0,0,5
27202,2022,Uganda,Australia,66,85,0,151
27203,2022,Ukraine,Australia,26,267,0,293
27204,2022,Uruguay,Australia,0,7,0,7
27205,2022,United States of America,Australia,17,58,0,75
27206,2022,Uzbekistan,Australia,21,51,0,72
27207,2022,Vanuatu,Australia,0,336,0,336
27208,2022,Venezuela (Bolivarian Republic of),Australia,191,297,0,488
27209,2022,Samoa,Australia,7,214,0,221
27210,2022,Yemen,Australia,241,44,0,285
27211,2022,Zambia,Australia,18,24,0,42
27212,2022,Zimbabwe,Australia,285,196,0,481
27213,2022,Stateless,Australia,3682,1382,0,5064
27214,2022,Tibetan,Australia,10,0,0,10
27215,2022,Unknown ,Australia,1516,1065,0,2581
27216,2022,Afghanistan,Austria,43725,5499,0,49224
27217,2022,Albania,Austria,49,19,0,68
27218,2022,Algeria,Austria,26,190,0,216
27219,2022,Angola,Austria,34,10,0,44
27220,2022,Egypt,Austria,212,340,0,552
27221,2022,Armenia,Austria,288,126,0,414
27222,2022,Azerbaijan,Austria,145,73,0,218
27223,2022,Burundi,Austria,15,29,0,44
27224,2022,Benin,Austria,5,8,0,13
27225,2022,Bangladesh,Austria,369,268,0,637
27226,2022,Burkina Faso,Austria,5,7,0,12
27227,2022,Belarus,Austria,30,22,0,52
27228,2022,Bosnia and Herzegovina,Austria,53,13,0,66
27229,2022,Chad,Austria,5,0,0,5
27230,2022,China,Austria,655,60,0,715
27231,2022,Cameroon,Austria,185,63,0,248
27232,2022,Congo,Austria,75,8,0,83
27233,2022,Dem. Rep. of the Congo,Austria,310,65,0,375
27234,2022,Colombia,Austria,5,20,0,25
27235,2022,Cuba,Austria,14,14,0,28
27236,2022,Eritrea,Austria,492,31,0,523
27237,2022,Ethiopia,Austria,247,50,0,297
27238,2022,Gabon,Austria,5,0,0,5
27239,2022,Gambia,Austria,110,51,0,161
27240,2022,United Kingdom of Great Britain and Northern Ireland,Austria,5,5,0,10
27241,2022,Georgia,Austria,310,232,0,542
27242,2022,Germany,Austria,0,5,0,5
27243,2022,Ghana,Austria,15,29,0,44
27244,2022,Guinea-Bissau,Austria,5,5,0,10
27245,2022,Guatemala,Austria,6,0,0,6
27246,2022,Guinea,Austria,123,31,0,154
27247,2022,Cote d'Ivoire,Austria,44,9,0,53
27248,2022,India,Austria,36,1530,0,1566
27249,2022,Iran (Islamic Rep. of),Austria,7294,905,0,8199
27250,2022,Iraq,Austria,10110,1100,0,11210
27251,2022,Israel,Austria,10,5,0,15
27252,2022,Jordan,Austria,81,53,0,134
27253,2022,Kazakhstan,Austria,108,20,0,128
27254,2022,Kenya,Austria,15,9,0,24
27255,2022,Kyrgyzstan,Austria,115,21,0,136
27256,2022,Kuwait,Austria,9,5,0,14
27257,2022,Liberia,Austria,10,0,0,10
27258,2022,Libya,Austria,146,66,0,212
27259,2022,Lebanon,Austria,120,95,0,215
27260,2022,Sri Lanka,Austria,72,24,0,96
27261,2022,Mauritania,Austria,5,0,0,5
27262,2022,North Macedonia,Austria,17,39,0,56
27263,2022,Rep. of Moldova,Austria,18,103,0,121
27264,2022,Mali,Austria,13,13,0,26
27265,2022,Mongolia,Austria,107,53,0,160
27266,2022,Morocco,Austria,46,1046,0,1092
27267,2022,Montenegro,Austria,5,0,0,5
27268,2022,Myanmar,Austria,32,10,0,42
27269,2022,Namibia,Austria,0,5,0,5
27270,2022,Nepal,Austria,17,47,0,64
27271,2022,Nicaragua,Austria,5,0,0,5
27272,2022,Nigeria,Austria,435,266,0,701
27273,2022,Pakistan,Austria,386,2599,0,2985
27274,2022,Philippines,Austria,19,10,0,29
27275,2022,South Africa,Austria,0,6,0,6
27276,2022,Russian Federation,Austria,6124,597,0,6721
27277,2022,Rwanda,Austria,13,5,0,18
27278,2022,Saudi Arabia,Austria,7,5,0,12
27279,2022,Serbia and Kosovo: S/RES/1244 (1999),Austria,406,93,0,499
27280,2022,Senegal,Austria,12,11,0,23
27281,2022,Sierra Leone,Austria,18,7,0,25
27282,2022,Somalia,Austria,8684,1817,0,10501
27283,2022,Viet Nam,Austria,0,8,0,8
27284,2022,Sudan,Austria,293,47,0,340
27285,2022,South Sudan,Austria,6,0,0,6
27286,2022,Syrian Arab Rep.,Austria,67588,11589,0,79177
27287,2022,United Rep. of Tanzania,Austria,5,5,0,10
27288,2022,Tajikistan,Austria,255,79,0,334
27289,2022,Turkmenistan,Austria,8,0,0,8
27290,2022,Togo,Austria,6,5,0,11
27291,2022,Tunisia,Austria,17,2389,0,2406
27292,2022,Türkiye,Austria,706,1327,0,2033
27293,2022,Uganda,Austria,34,9,0,43
27294,2022,Ukraine,Austria,74689,321,0,75010
27295,2022,United States of America,Austria,5,5,0,10
27296,2022,Uzbekistan,Austria,46,70,0,116
27297,2022,Venezuela (Bolivarian Republic of),Austria,95,51,0,146
27298,2022,Yemen,Austria,504,157,0,661
27299,2022,Zambia,Austria,5,0,0,5
27300,2022,Stateless,Austria,1972,0,0,1972
27301,2022,Unknown ,Austria,5228,548,0,5776
27302,2022,Afghanistan,Azerbaijan,1179,35,0,1214
27303,2022,Azerbaijan,Azerbaijan,0,0,654839,0
27304,2022,Palestinian,Azerbaijan,5,0,0,5
27305,2022,Iran (Islamic Rep. of),Azerbaijan,51,0,0,51
27306,2022,Iraq,Azerbaijan,10,0,0,10
27307,2022,Libya,Azerbaijan,5,0,0,5
27308,2022,Nigeria,Azerbaijan,0,6,0,6
27309,2022,Pakistan,Azerbaijan,53,34,0,87
27310,2022,Russian Federation,Azerbaijan,325,0,0,325
27311,2022,Syrian Arab Rep.,Azerbaijan,34,0,0,34
27312,2022,Turkmenistan,Azerbaijan,0,5,0,5
27313,2022,Ukraine,Azerbaijan,4788,41,0,4829
27314,2022,Uzbekistan,Azerbaijan,5,0,0,5
27315,2022,Yemen,Azerbaijan,11,0,0,11
27316,2022,Stateless,Azerbaijan,0,0,0,0
27317,2022,Egypt,Bahrain,0,5,0,5
27318,2022,Palestinian,Bahrain,0,15,0,15
27319,2022,Iraq,Bahrain,241,117,0,358
27320,2022,Jordan,Bahrain,0,6,0,6
27321,2022,Syrian Arab Rep.,Bahrain,5,40,0,45
27322,2022,Tunisia,Bahrain,0,6,0,6
27323,2022,Yemen,Bahrain,9,5,0,14
27324,2022,Burundi,Burundi,0,0,7631,0
27325,2022,Dem. Rep. of the Congo,Burundi,81501,3314,0,84815
27326,2022,Kenya,Burundi,0,0,0,0
27327,2022,Mali,Burundi,12,0,0,12
27328,2022,Oman,Burundi,0,0,0,0
27329,2022,Pakistan,Burundi,0,0,0,0
27330,2022,South Africa,Burundi,0,5,0,5
27331,2022,Rwanda,Burundi,667,338,0,1005
27332,2022,Somalia,Burundi,5,0,0,5
27333,2022,United Rep. of Tanzania,Burundi,0,0,0,0
27334,2022,Uganda,Burundi,11,5,0,16
27335,2022,Afghanistan,Belgium,7049,5302,0,12351
27336,2022,Albania,Belgium,693,154,0,847
27337,2022,Algeria,Belgium,98,172,0,270
27338,2022,Angola,Belgium,98,164,0,262
27339,2022,Egypt,Belgium,113,84,0,197
27340,2022,Armenia,Belgium,325,238,0,563
27341,2022,Azerbaijan,Belgium,131,61,0,192
27342,2022,Burundi,Belgium,2408,354,0,2762
27343,2022,Benin,Belgium,40,51,0,91
27344,2022,Bangladesh,Belgium,21,6,0,27
27345,2022,Burkina Faso,Belgium,120,72,0,192
27346,2022,Belarus,Belgium,77,67,0,144
27347,2022,Brazil,Belgium,18,28,0,46
27348,2022,Bosnia and Herzegovina,Belgium,44,5,0,49
27349,2022,Bulgaria,Belgium,17,0,0,17
27350,2022,Cambodia,Belgium,13,0,0,13
27351,2022,Central African Rep.,Belgium,74,23,0,97
27352,2022,Chad,Belgium,47,42,0,89
27353,2022,China,Belgium,1226,45,0,1271
27354,2022,Chile,Belgium,44,5,0,49
27355,2022,Cameroon,Belgium,690,650,0,1340
27356,2022,Congo,Belgium,25,36,0,61
27357,2022,Dem. Rep. of the Congo,Belgium,1632,634,0,2266
27358,2022,Colombia,Belgium,143,252,0,395
27359,2022,Cuba,Belgium,10,5,0,15
27360,2022,Czechia,Belgium,5,0,0,5
27361,2022,Djibouti,Belgium,385,58,0,443
27362,2022,Ecuador,Belgium,0,6,0,6
27363,2022,Equatorial Guinea,Belgium,0,5,0,5
27364,2022,Eritrea,Belgium,4540,661,0,5201
27365,2022,Ethiopia,Belgium,187,144,0,331
27366,2022,Gabon,Belgium,30,40,0,70
27367,2022,Gambia,Belgium,37,73,0,110
27368,2022,Palestinian,Belgium,3655,1313,0,4968
27369,2022,Georgia,Belgium,249,360,0,609
27370,2022,Ghana,Belgium,19,67,0,86
27371,2022,Guinea-Bissau,Belgium,7,5,0,12
27372,2022,Guatemala,Belgium,41,33,0,74
27373,2022,Guinea,Belgium,3764,915,0,4679
27374,2022,Guyana,Belgium,5,0,0,5
27375,2022,Haiti,Belgium,5,5,0,10
27376,2022,Honduras,Belgium,21,15,0,36
27377,2022,Croatia,Belgium,5,0,0,5
27378,2022,Hungary,Belgium,29,0,0,29
27379,2022,Cote d'Ivoire,Belgium,260,171,0,431
27380,2022,India,Belgium,14,7,0,21
27381,2022,Iran (Islamic Rep. of),Belgium,1902,256,0,2158
27382,2022,Iraq,Belgium,5769,699,0,6468
27383,2022,Israel,Belgium,0,5,0,5
27384,2022,Jamaica,Belgium,5,0,0,5
27385,2022,Jordan,Belgium,28,41,0,69
27386,2022,Kazakhstan,Belgium,67,18,0,85
27387,2022,Kenya,Belgium,15,7,0,22
27388,2022,Kyrgyzstan,Belgium,93,29,0,122
27389,2022,Dem. People's Rep. of Korea,Belgium,32,0,0,32
27390,2022,Kuwait,Belgium,8,5,0,13
27391,2022,Lao People's Dem. Rep.,Belgium,10,0,0,10
27392,2022,Liberia,Belgium,16,25,0,41
27393,2022,Libya,Belgium,156,116,0,272
27394,2022,Lebanon,Belgium,140,87,0,227
27395,2022,Sri Lanka,Belgium,311,33,0,344
27396,2022,Lithuania,Belgium,10,0,0,10
27397,2022,Madagascar,Belgium,0,5,0,5
27398,2022,Mauritania,Belgium,278,131,0,409
27399,2022,North Macedonia,Belgium,133,28,0,161
27400,2022,Rep. of Moldova,Belgium,98,0,0,98
27401,2022,Maldives,Belgium,0,89,0,89
27402,2022,Mali,Belgium,105,37,0,142
27403,2022,Mongolia,Belgium,0,7,0,7
27404,2022,Morocco,Belgium,205,328,0,533
27405,2022,Mozambique,Belgium,0,5,0,5
27406,2022,Montenegro,Belgium,13,0,0,13
27407,2022,Myanmar,Belgium,8,0,0,8
27408,2022,Nepal,Belgium,6,0,0,6
27409,2022,Niger,Belgium,139,97,0,236
27410,2022,Nicaragua,Belgium,26,11,0,37
27411,2022,Nigeria,Belgium,72,300,0,372
27412,2022,Pakistan,Belgium,359,71,0,430
27413,2022,Peru,Belgium,10,23,0,33
27414,2022,Philippines,Belgium,0,16,0,16
27415,2022,Poland,Belgium,98,0,0,98
27416,2022,Romania,Belgium,52,0,0,52
27417,2022,South Africa,Belgium,5,0,0,5
27418,2022,Russian Federation,Belgium,2848,405,0,3253
27419,2022,Rwanda,Belgium,846,224,0,1070
27420,2022,El Salvador,Belgium,591,304,0,895
27421,2022,Saudi Arabia,Belgium,8,5,0,13
27422,2022,Serbia and Kosovo: S/RES/1244 (1999),Belgium,914,62,0,976
27423,2022,Senegal,Belgium,421,231,0,652
27424,2022,Sierra Leone,Belgium,29,39,0,68
27425,2022,Somalia,Belgium,2746,1041,0,3787
27426,2022,Spain,Belgium,0,7,0,7
27427,2022,Viet Nam,Belgium,23,18,0,41
27428,2022,Sudan,Belgium,316,116,0,432
27429,2022,Suriname,Belgium,0,5,0,5
27430,2022,South Sudan,Belgium,12,25,0,37
27431,2022,Syrian Arab Rep.,Belgium,20086,1089,0,21175
27432,2022,United Rep. of Tanzania,Belgium,43,21,0,64
