Country of origin,Year,International total
Cuba,2019,62569
Cuba,2020,71146
Cuba,2021,83124
Cuba,2022,120228
Curacao ,2017,35
Curacao ,2018,35
Curacao ,2019,35
Curacao ,2020,35
Curacao ,2021,35
Curacao ,2022,35
Cyprus,2017,20
Cyprus,2018,27
Cyprus,2019,35
Cyprus,2020,19
Cyprus,2021,20
Cyprus,2022,27
Czechia,2017,1579
Czechia,2018,1460
Czechia,2019,1347
Czechia,2020,1270
Czechia,2021,919
Czechia,2022,763
Dem. People's Rep. of Korea,2017,1763
Dem. People's Rep. of Korea,2018,943
Dem. People's Rep. of Korea,2019,870
Dem. People's Rep. of Korea,2020,777
Dem. People's Rep. of Korea,2021,636
Dem. People's Rep. of Korea,2022,399
Dem. Rep. of the Congo,2017,756957
Dem. Rep. of the Congo,2018,853724
Dem. Rep. of the Congo,2019,948476
Dem. Rep. of the Congo,2020,985764
Dem. Rep. of the Congo,2021,1056500
Dem. Rep. of the Congo,2022,1052103
Denmark,2017,21
Denmark,2018,35
Denmark,2019,42
Denmark,2020,22
Denmark,2021,33
Denmark,2022,27
Djibouti,2017,3047
Djibouti,2018,3224
Djibouti,2019,3185
Djibouti,2020,3302
Djibouti,2021,3601
Djibouti,2022,2730
Dominica,2017,89
Dominica,2018,92
Dominica,2019,132
Dominica,2020,129
Dominica,2021,178
Dominica,2022,203
Dominican Rep.,2017,3586
Dominican Rep.,2018,3878
Dominican Rep.,2019,4584
Dominican Rep.,2020,4794
Dominican Rep.,2021,5277
Dominican Rep.,2022,5938
Ecuador,2017,18592
Ecuador,2018,19151
Ecuador,2019,20984
Ecuador,2020,23779
Ecuador,2021,29111
Ecuador,2022,37047
Egypt,2017,36694
Egypt,2018,41610
Egypt,2019,44043
Egypt,2020,42866
Egypt,2021,48514
Egypt,2022,49395
El Salvador,2017,130777
El Salvador,2018,151833
El Salvador,2019,178093
El Salvador,2020,195182
El Salvador,2021,205287
El Salvador,2022,206547
Equatorial Guinea,2017,237
Equatorial Guinea,2018,316
Equatorial Guinea,2019,322
Equatorial Guinea,2020,338
Equatorial Guinea,2021,403
Equatorial Guinea,2022,461
Eritrea,2017,564517
Eritrea,2018,585844
Eritrea,2019,576464
Eritrea,2020,597680
Eritrea,2021,589099
